순위,검색 키워드,영상 제목,채널명,업로드 날짜,조회수,좋아요수,댓글수,조회수_log
90,韓国ファッション,韓国のコンバースを持ち帰る方法 #韓国 #韓国コンバース #shorts,きむあずまの韓国チャンネル,2023-05-23,1546488,16484,275,14.251497758246531
91,ソウル観光,#渡韓準備 #韓国旅行計画 #韓国旅行情報 #韓国旅行 #韓国旅行持ち物 #韓国スタバ #韓国 #ソウル #コスパ旅 #ソウルコスパ旅,コスパ旅,2024-05-30,1535563,15302,248,14.24440829822887
92,韓国旅行,#渡韓準備 #韓国旅行計画 #韓国旅行情報 #韓国旅行 #韓国旅行持ち物 #韓国スタバ #韓国 #ソウル #コスパ旅 #ソウルコスパ旅,コスパ旅,2024-05-30,1535563,15302,248,14.24440829822887
93,韓国コスメ,リップを分解してみたら...,UMAKO🇰🇷 韓国ビューティーオタク,2026-02-05,1534958,13643,66,14.244014228548993
94,韓国ファッション,秋の寒暖差にもしっかり対応するよ☝🏻⸒⸒#秋服 #秋コーデ #プチプラ #高身長コーデ #韓国ファッション #ファッション #ootd #コーデ #秋 #おすすめ,ハヌル하늘,2025-09-23,1533851,10482,29,14.24329277646347
95,韓国旅行,日本人が大好きなのに韓国人は食べない韓国の食べ物3選　#韓国料理 #韓国旅行 #youtuberjin,韓国 JIN,2025-03-01,1460242,5050,312,14.194113418191357
96,韓国コスメ,【渡韓vlog】韓国コスメつめ放題イベントに参加してみたらヤバすぎた！デイジーク人気アイテムもゲットできるチャンスのおすすめスポット！#shorts,東京いいねちゃんyoutube,2025-04-21,1441305,18543,41,14.181060204971015
97,ソウル観光,【韓国🇰🇷】はじめての韓国旅行で絶対に行きたいお店-13選-,りょうまい夫婦 -おでかけ夫婦-,2024-06-13,1436046,40095,107,14.177404757859712
98,韓国旅行,【韓国🇰🇷】はじめての韓国旅行で絶対に行きたいお店-13選-,りょうまい夫婦 -おでかけ夫婦-,2024-06-13,1436046,40095,107,14.177404757859712
99,韓国女子旅,【韓国】女ひとり爆食ツアー！2泊3日で8軒も名物店を巡って食欲解放した弾丸グルメ旅！,しやごちゃんねる＠グルメ旅,2023-08-02,1434371,14390,979,14.176237680725592
100,韓国グルメ,【韓国】女ひとり爆食ツアー！2泊3日で8軒も名物店を巡って食欲解放した弾丸グルメ旅！,しやごちゃんねる＠グルメ旅,2023-08-02,1434371,14390,979,14.176237680725592
101,ソウル観光,【韓国】女ひとり爆食ツアー！2泊3日で8軒も名物店を巡って食欲解放した弾丸グルメ旅！,しやごちゃんねる＠グルメ旅,2023-08-02,1434371,14390,979,14.176237680725592
102,韓国旅行,【9割これ‼️】日本旅行行った「韓国人の特徴」 #韓国 #韓国人 #韓国旅行,きばるん 키바룬,2025-12-30,1427321,10211,136,14.171310519217279
103,韓国ファッション,韓国で服を買ったのに外に出れない #shorts,kottyくらぶ,2025-01-24,1361907,24315,43,14.124397215686209
104,韓国グルメ,【大食い女の爆食旅】韓国グルメ食べ歩き！広蔵市場うまいもん通りで満足するまで帰りたくありません【VLOG】【大食い女の日常】【モッパン】【MUKBANG】,ロシアン佐藤『おなかがすいたらMONSTER!』,2024-06-30,1358718,11249,342,14.12205290206989
105,韓国女子旅,★Vlog★かんあき女子旅！夢のディズニーランド♪,Kan & Aki's CHANNELかんあきチャンネル,2025-10-02,1310034,8678,390,14.085564412377678
106,韓国旅行,韓国旅行のベストシーズンを教えるKH #shorts,KH / Killin9Hit,2026-03-10,1308129,21623,243,14.084109194439788
107,韓国女子旅,★Vlog★ホテルのリビングにスパ！？テンション高めの韓国女子旅！Day1,Kan & Aki's CHANNELかんあきチャンネル,2025-03-25,1305501,10185,376,14.082098199100232
108,韓国コスメ,こう使うの知ってた？🫣💭#メイク#コスメ#韓国#韓国コスメ#アイメイク#パーフェクトダイアリー,ねね🧸バズコスメ愛好家,2023-01-17,1305256,6750,48,14.081910514215705
109,韓国女子旅,【女子旅】みおなぎママで韓国旅行に行ってきました♡,みおなぎはん,2024-11-09,1288859,8306,0,14.069268664696077
110,韓国旅行,【女子旅】みおなぎママで韓国旅行に行ってきました♡,みおなぎはん,2024-11-09,1288859,8306,0,14.069268664696077
111,韓国旅行,ソウル旅🇰🇷観光せず韓国グルメ20軒。【アジア#53】2024年10月22日〜11月5日,しげ旅,2025-02-23,1260451,13582,1175,14.046980944758111
112,ソウル観光,ソウル旅🇰🇷観光せず韓国グルメ20軒。【アジア#53】2024年10月22日〜11月5日,しげ旅,2025-02-23,1260451,13582,1175,14.046980944758111
113,韓国ファッション,トレンドハンターが韓国ファッション爆買いしたら８人ぐらいから求婚される予定,にこちゃん放送局,2024-01-30,1257208,21266,1490,14.044404742645437
114,韓国コスメ,涙袋の作り方💗🫶🏻 #韓国コスメ #wonjungyo,南 聖羅 Seira Minami,2023-07-10,1256460,65532,57,14.043809596884794
115,韓国旅行,ふくれなと弾丸韓国旅行わず,とうあ,2025-11-27,1252524,23848,498,14.040672071821797
116,ソウル観光,【韓国旅行】流行りの韓国ソウルひとり旅　面白いのでまた行きました！,スーツ 旅行 / Suit Travel,2023-05-03,1244191,8834,541,14.033996881207953
117,韓国コスメ,#ウォニョン #イヴ #アイヴ #kポップ #アイドル #韓国アイドル #垢抜け #垢抜けたい #美白 #色白 #日焼け止め #日傘,ゆりあ🤍【ダイエットと垢抜け】,2024-12-15,1241769,19713,110,14.032048339141483
118,ソウル観光,【旅動画❤️🇰🇷✈️】アレン様💖✨美容＆観光トロつきツアー💕💎🌹in 韓国ソウル🇰🇷,アレン様のゥｯトﾘ・ブチｷﾞレ人生,2025-10-19,1227445,24691,812,14.020446145829782
119,ソウル観光,【ソウル】韓国グルメと酒池肉林の旅！！【カンジャンケジャン】,無敵のレオ【世界1人旅】,2024-04-27,1224182,11735,575,14.017784240682854
120,韓国旅行,【ドッキリ】韓国旅行中の親友の寝起きに『サメ』持って突撃して捌いてもらったら喧嘩になった！#shorts,とみビデオ,2026-01-11,1216217,24409,342,14.01125660175596
